,,codigo,municipio,Otros nombres
,Provincia Aroma,21305,Patacamaya,
,Provincia Aroma,21306,Colquencha,
,Provincia Aroma,21307,Collana,
,Provincia Nor Yungas,,,
,Provincia Nor Yungas,21401,Coroico,
,Provincia Nor Yungas,21402,Coripata,
,Provincia Abel Iturralde,,,
,Provincia Abel Iturralde,21501,Ixiamas,
,Provincia Abel Iturralde,21502,San Buenaventura,
,Provincia Bautista Saavedra,,,
,Provincia Bautista Saavedra,21601,Gral. Juan José Perez (Charazani),Charazani
,Provincia Bautista Saavedra,21602,Curva,
,Provincia Manco Kapac,,,
,Provincia Manco Kapac,21701,Copacabana,
,Provincia Manco Kapac,21702,San Pedro de Tiquina,
,Provincia Manco Kapac,21703,Tito Yupanqui,
,Provincia Gualberto Villarroel,,,
,Provincia Gualberto Villarroel,21801,San Pedro de Curahuara,
,Provincia Gualberto Villarroel,21802,Papel Pampa,
,Provincia Gualberto Villarroel,21803,Chacarilla,
,Provincia Gral. J. Manuel Pando,,,
,Provincia Gral. J. Manuel Pando,21901,Santiago de Machaca,
,Provincia Gral. J. Manuel Pando,21902,Catacora,
,Provincia Caranavi,,,
,Provincia Caranavi,22001,Caranavi,
,Provincia Caranavi,22002,Alto Beni,
,Departamento de Cochabamba,,,
,Provincia Cercado,,,
,Provincia Cercado,30101,Cochabamba,
,Provincia Campero,,,
,Provincia Campero,30201,Aiquile,
,Provincia Campero,30202,Pasorapa,
,Provincia Campero,30203,Omereque,
,Provincia Ayopaya,,,
,Provincia Ayopaya,30301,Independencia,
,Provincia Ayopaya,30302,Morochata,
,Provincia Ayopaya,30303,Cocapata,
,Provincia Esteban Arce,,,
,Provincia Esteban Arce,30401,Tarata,
Departamento de Tarija,Departamento de Tarija,,,
,Provincia Arce,,,
,Provincia Arce,60202,Bermejo,
Departamento de Cochabamba,Departamento de Cochabamba,,,
,Provincia Esteban Arce,,,
,Provincia Esteban Arce,30402,Anzaldo,
,Provincia Esteban Arce,30403,Arbieto,
,Provincia Esteban Arce,30404,Sacabamba,
,Provincia Arani,,,
,Provincia Arani,30501,Arani,
Departamento de Oruro,Departamento de Oruro,,,
,Provincia Cercado,,,
,Provincia Cercado,40101,Oruro,
Departamento de Cochabamba,Departamento de Cochabamba,,,
,Provincia Arani,,,
,Provincia Arani,30502,Vacas,
,Provincia Arque,,,
,Provincia Arque,30601,Arque,
,Provincia Arque,30602,Tacopaya,
,Provincia Capinota,,,
,Provincia Capinota,30701,Capinota,
,Provincia Capinota,30702,Santivañez,
Departamento de Oruro,Departamento de Oruro,,,
,Provincia Carangas,,,
,Provincia Carangas,40302,Choquecota,
Departamento de Cochabamba,Departamento de Cochabamba,,,
,Provincia Capinota,,,
,Provincia Capinota,30703,Sicaya,
,Provincia German Jordan,,,
,Provincia German Jordan,30801,Cliza,
,Provincia German Jordan,30802,Toco,
,Provincia German Jordan,30803,Tolata,
,Provincia Quillacollo,,,
,Provincia Quillacollo,30901,Quillacollo,
Departamento de Oruro,Departamento de Oruro,,,
,Provincia Sajama,,,
,Provincia Sajama,40401,Curahuara de Carangas,
Departamento de Cochabamba,Departamento de Cochabamba,,,
,Provincia Quillacollo,,,
,Provincia Quillacollo,30902,Sipe Sipe,
,Provincia Quillacollo,30903,Tiquipaya,
,Provincia Quillacollo,30904,Vinto,
,Provincia Quillacollo,30905,Colcapirhua,
,Provincia Chapare,,,
,Provincia Chapare,31001,Sacaba,
,Provincia Chapare,31002,Colomi,
,Provincia Chapare,31003,Villa Tunari,
,Provincia Tapacari,,,
,Provincia Tapacari,31101,Tapacarí,
,Provincia Carrasco,,,
,Provincia Carrasco,31201,Totora,
,Provincia Carrasco,31202,Pojo,
,Provincia Carrasco,31203,Pocona,
,Provincia Carrasco,31204,Chimoré,
,Provincia Carrasco,31205,Puerto Villarroel,
,Provincia Carrasco,31206,Entre Ríos (Bulo Bulo),Bulo Bulo
,Provincia Mizque,,,
,Provincia Mizque,31301,Mizque,
,Provincia Mizque,31302,Vila Vila,
Departamento de Oruro,Departamento de Oruro,,,
,Provincia Litoral,,,
,Provincia Litoral,40505,Esmeralda,
Departamento de Beni,Departamento de Beni,,,
,Provincia Marban,,,
,Provincia Marban,80601,Loreto,
Departamento de Cochabamba,Departamento de Cochabamba,,,
,Provincia Mizque,,,
,Provincia Mizque,31303,Alalay,
,Provincia Punata,,,
,Provincia Punata,31401,Punata,
,Provincia Punata,31402,Villa Rivero,
,Provincia Punata,31403,San Benito,
Departamento de Oruro,Departamento de Oruro,,,
,Provincia Poopo,,,
,Provincia Poopo,40601,Villa Poopó,
Departamento de Cochabamba,Departamento de Cochabamba,,,
,Provincia Punata,,,
,Provincia Punata,31404,Tacachi,
,Provincia Punata,31405,Cuchumuela (Villa Gualberto Villarroel),Villa Gualberto Villarroel
,Provincia Bolivar,,,
,Provincia Bolivar,31501,Bolívar,
,Provincia Tiraque,,,
,Provincia Tiraque,31601,Tiraque,
,Provincia Tiraque,31602,Shinahota,
Departamento de Potosí,Departamento de Potosí,,,
,Provincia Cornelio Saavedra,,,
,Provincia Cornelio Saavedra,50302,Chaquí,
Departamento de Oruro,Departamento de Oruro,,,
,Provincia Cercado,,,
,Provincia Cercado,40102,Caracollo,
,Provincia Cercado,40103,El Choro,
,Provincia Cercado,40104,Soracachi (Paria),Paria
,Provincia Abaroa,,,
,Provincia Abaroa,40201,Challapata,
,Provincia Abaroa,40202,Santuario de Quillacas,
,Provincia Carangas,,,
,Provincia Carangas,40301,Corque,
Departamento de Potosi,,,,
,Provincia Jose Maria Linares,,,
,Provincia Jose Maria Linares,51103,Ckochas,
,Provincia Antonio Quijarro,,,
,Provincia Antonio Quijarro,51201,Uyuni,
Departamento de Oruro,Departamento de Oruro,,,
,Provincia Sajama,,,
,Provincia Sajama,40402,Turco,
,Provincia Litoral,,,
,Provincia Litoral,40501,Huachacalla,
,Provincia Litoral,40502,Escara,
,Provincia Litoral,40503,Cruz de Machacamarca,
,Provincia Litoral,40504,Yunguyo del Litoral,
Departamento de Potosi,,,,
,Provincia Antonio Quijarro,,,
,Provincia Antonio Quijarro,51202,Tomave,
Departamento de Oruro,Departamento de Oruro,,,
,Provincia Poopo,,,
,Provincia Poopo,40602,Pazña,
,Provincia Poopo,40603,Antequera,
,Provincia Pantaleon Dalence,,,
,Provincia Pantaleon Dalence,40701,Villa Huanuni,
,Provincia Pantaleon Dalence,40702,Machacamarca,
,Provincia Ladislao Cabrera,,,
,Provincia Ladislao Cabrera,40801,Salinas de Garci Mendoza,
,Provincia Ladislao Cabrera,40802,Pampa Aullagas,
,Provincia Sabaya,,,
,Provincia Sabaya,40901,Sabaya,
,Provincia Sabaya,40902,Coipasa,
,Provincia Sabaya,40903,Chipaya,
,Provincia Saucari,,,
,,41001,Toledo,
,Provincia Tomas Barron,,,
,,41101,Eucaliptus,
,Provincia Sur Carangas,,,
,,41201,Andamarca,
Departamento de Beni,Departamento de Beni,,,
,Provincia Marban,,,
,,80602,San Andrés,
,Provincia Mamore,,,
,,80701,San Joaquín,
,,80702,San Ramón,
Departamento de Oruro,Departamento de Oruro,,,
,Provincia Sur Carangas,,,
,,41202,Belén de Andamarca,
,Provincia S. Pedro de Totora,,,
,,41301,Totora,
,Provincia Sebastian Pagador,,,
,,41401,Santiago de Huari,
,Provincia Mejillones,,,
,,41501,La Rivera,
,,41502,Todos Santos,
,,41503,Carangas,
,Provincia Nor Carangas,,,
,,41601,Santiago de Huayllamarca,
Departamento de Potosi,Departamento de Potosí,,,
,Provincia Tomas Frias,,,
,,50101,Potosí,
,,50102,Tinguipaya,
,,50103,Villa de Yocalla,
,,50104,Belén de Urmiri,
,Provincia Rafael Bustillo,,,
,,50201,Uncía,
,,50202,Chayanta,
,,50203,Llallagua,
,,50204,Chuquihuta Ayllu Jucumani,
,Provincia Cornelio Saavedra,,,
,,50301,Betanzos,
Departamento de Beni,Departamento de Beni,,,
,Provincia Mamore,,,
,,80703,Puerto Siles,
Departamento de Potosi,Departamento de Potosí,,,
,Provincia Cornelio Saavedra,,,
,,50303,Tacobamba,
,Provincia Chayanta,,,
,,50401,Colquechaca,
,,50402,Ravelo,
,,50403,Pocoata,
,,50404,Ocurí,
,Provincia Charcas,,,
,,50501,San Pedro de Buena Vista,
Departamento de Beni,Departamento de Beni,,,
,Provincia Itenez,,,
,,80801,Magdalena,
,,80802,Baures,
Departamento de Potosi,Departamento de Potosí,,,
,Provincia Charcas,,,
,,50502,Toro Toro,
,Provincia Nor Chichas,,,
,,50601,Cotagaita,
,,50602,Vitichi,
,Provincia Alonzo de Ibañez,,,
,,50701,Sacaca,
,,50702,Caripuyo,
,Provincia Sur Chichas,,,
,,50801,Tupiza,
,Provincia Antonio Quijarro,,,
,,51203,Porco,
,Provincia Sur Chichas,,,
,,50802,Atocha,
,Provincia Nor Lipez,,,
,,50901,"Colcha ""K""",
,,50902,San Pedro de Quemes,
,Provincia Sur Lipez,,,
,,51001,San Pablo de Lipez,
,,51002,Mojinete,
,,51003,San Antonio de Esmoruco,
,Provincia Jose Maria Linares,,,
,,51101,Puna,
,,51102,"Caiza ""D""",
,Provincia Gral. B. Bilbao,,,
,,51301,Arampampa,
,,51302,Acasio,
,Provincia Daniel Campos,,,
,,51401,Llica,
,,51402,Tahua,
,Provincia Modesto Omiste,,,
,,51501,Villazón,
,Provincia Enrique Baldiviezo,,,
,,51601,San Agustín,
Departamento de Tarija,Departamento de Tarija,,,
,Provincia Cercado,,,
,,60101,Tarija,
,Provincia Arce,,,
,,60201,Padcaya,
,Provincia Gran Chaco,,,
,,60301,Yacuiba,
,,60302,Caraparí,
,,60303,Villamontes,
,Provincia Avilez,,,
,,60401,Uriondo (Concepción),Concepción
,,60402,Yunchará,
,Provincia Mendez,,,
,,60501,San Lorenzo,
,,60502,El Puente,
,Provincia Burnet O' Connor,,,
,,60601,Entre Ríos,
Departamento de Santa Cruz,Departamento de Santa Cruz,,,
,Provincia Andres Ibañez,,,
,,70101,Santa Cruz de la Sierra,
,,70102,Cotoca,
,,70103,Porongo (Ayacucho),Ayacucho
,,70104,La Guardia,
,,70105,El Torno,
,Provincia Warnes,,,
,,70201,Warnes,
,,70202,Okinawa,
,Provincia Velasco,,,
,,70301,San Ignacio,
,,70302,San Miguel,
,,70303,San Rafael,
,Provincia Ichilo,,,
,,70401,Buena Vista,
,,70402,San Carlos,
,,70403,Yapacaní,
,,70404,San Juan,
,Provincia Chiquitos,,,
,,70501,San José,
,,70502,Pailón,
,,70503,Roboré,
,Provincia Sara,,,
,,70601,Portachuelo,
,,70602,Santa Rosa del Sara,
,,70603,Colpa Bélgica,
,Provincia Cordillera,,,
,,70701,Lagunillas,
,,70702,Charagua,
,,70703,Cabezas,
,,70704,Cuevo,
,,70705,Gutiérrez,
,,70706,Camiri,
,,70707,Boyuibe,
,Provincia Vallegrande,,,
,,70801,Vallegrande,
,,70802,El Trigal,
,,70803,Moro Moro,
,,70804,Postrervalle,
,,70805,Pucará,
,Provincia Florida,,,
,,70901,Samaipata,
,,70902,Pampa Grande,
,,70903,Mairana,
,,70904,Quirusillas,
,Provincia Obispo Santiestevan,,,
,,71001,Montero,
,,71002,Gral. Saavedra,
,,71003,Mineros,
,,71004,Puerto Fernández Alonso,
,,71005,San Pedro,
,Provincia Ñuflo de Chavez,,,
,,71101,Concepción,
,,71102,San Javier,
,,71103,San Ramón,
,,71104,San Julián,
,,71105,San Antonio de Lomerío,
,,71106,Cuatro Cañadas,
,Provincia Angel Sandoval,,,
,,71201,San Matías,
,Provincia Caballero,,,
,,71301,Comarapa,
,,71302,Saipina,
,Provincia German Busch,,,
,,71401,Puerto Suárez,
,,71402,Puerto Quijarro,
,,71403,Carmen Rivero Torres,
,Provincia Guarayos,,,
,,71501,Ascención de Guarayos,
,,71502,Urubichá,
,,71503,El Puente,
Departamento de Beni,Departamento de Beni,,,
,Provincia Cercado,,,
,,80101,Trinidad,
,,80102,San Javier,
,Provincia Vaca Diez,,,
,,80201,Riberalta,
,,80202,Guayaramerín,
,Provincia Gral. J. Ballivian,,,
,,80301,Reyes,
,,80302,San Borja,
,,80303,Santa Rosa,
,,80304,Rurrenabaque,
,Provincia Yacuma,,,
,,80401,Santa Ana,
,,80402,Exaltación,
,Provincia Moxos,,,
,,80501,San Ignacio,
,Provincia Itenez,,,
,,80803,Huacaraje,
Departamento de Pando,Departamento de Pando,,,
,Provincia Nicolas Suarez,,,
,,90101,Cobija,
,,90102,Porvenir,
,,90103,Bolpebra,
,,90104,Bella Flor,
,Provincia Manuripi,,,
,,90201,Puerto Rico,
,,90202,San Pedro,
,,90203,Filadelfia,
,Provincia Madre de Dios,,,
,,90301,Puerto Gonzalo Moreno,
,,90302,Blanca Flor (San Lorenzo),San Lorenzo
,,90303,El Sena,
,Provincia Abuna,,,
,,90401,Santa Rosa del Abuná,
,,90402,Humaita (Ingavi),Ingavi
,Provincia Gral. Federico Roman,,,
,,90501,Nueva Esperanza,
,,90502,Villa Nueva (Loma Alta),Loma Alta
,,90503,Santos Mercado (Reserva),Reserva
