cod.mun,departamento_y_municipio,t_2001,h_01,m_01,t_2012,h_12,m_12,tmn_2001_2012(%),tac_ 2001_2012(%),ind_mas,urbana,rural,pob_insrc_%,pob_ci_%,t_taf>15,h_>15,m_>15,t_ae(6_19),h_ae(6_19),m_ae(6_19),nin_(ni>19),prim_(ni>19),se_(ni>19),sup_(ni>19),ins_(ni>19),otro_(ni>19),t_aest,h_aest,m_aest,est_sal_ultpar,dom_ultpar,otro_ultpar,sinesp_ultpar
010405,El Villar,4585,2353,2232,4465,2311,2154,-6.0880195599,-0.2365557273,107.2887650882,0,100,98.7211128562,79.0593505039,83.5044716794,90.5362776025,75.7322175732,83.6838288615,82.0728291317,85.4135338346,24.8854961832,41.0687022901,23.5496183206,9.3511450382,0.7633587786,0.3816793893,5.4174980814,5.9600886918,"4,8","55,3","42,7","2,0","0,0"
010501,Monteagudo,26504,13823,12681,24303,12419,11884,-5.7364705882,-0.7732923911,104.5018512285,47.0847220508,52.9152779492,96.9959919012,77.1756573263,89.638076351,93.0311477397,86.0875079264,86.4550679206,83.7947675895,89.2713094918,16.4330840171,40.9483697625,26.4686660373,14.8500472006,1.0093675114,0.2904654709,6.6802979407,6.9768901569,"6,4","66,8","31,2","1,9","0,1"
010502,Huacareta,10007,5325,4682,8349,4400,3949,-7.3317475864,-1.6157236829,111.4206128134,0,100,96.8757510214,75.5060486286,86.6894197952,89.6269982238,83.3265555104,82.5933202358,80.1136363636,85.6640281442,20.0563746748,41.9991326973,27.0381613183,9.8872506505,0.7805724198,0.2385082394,5.8578901482,6.3491343776,"5,3","57,5","40,7","1,7","0,1"
010601,Tarabuco,19554,9405,10149,16944,8291,8653,-8.2128866676,-1.2778760455,95.8164798336,17.5696411709,82.4303588291,98.1632894893,78.2577903683,73.7758854267,81.1335870218,66.897584722,82.9701230228,84.8707197764,81.0466760962,36.753648828,41.9725785051,14.4957983193,6.3909774436,0.27642636,0.110570544,3.9435510702,4.4294990724,"3,5","38,9","59,9","1,1","0,1"
010602,Yamparáez,10013,4826,5187,10111,5047,5064,-8.4242637569,0.0868741456,99.6642969984,0,100,98.8671370367,77.6085451488,81.167384524,88.2777276826,74.2219612449,85.2971137521,84.7695390782,85.8425414365,27.5654930753,47.0048389788,17.7874186551,7.0081762056,0.4505256132,0.1835474721,4.5295595378,5.1422237381,"3,9","59,4","38,3","2,1","0,2"
010701,Camargo,14009,6819,7190,15644,7735,7909,-5.1276375978,0.9846120725,97.7999747124,33.6422909742,66.3577090258,98.4677522759,84.2687292253,88.6305418719,93.5724360266,83.9020628494,80.1139833096,79.707198048,80.521597392,16.2434822036,42.4506914532,25.5610972569,13.7837225119,1.6436182272,0.3173883473,6.617603466,7.2418789437,"6,0","60,1","37,4","2,5","0,0"
010702,San Lucas,32109,15352,16757,32520,15859,16661,-6.8227037586,0.1134476715,95.1863633635,0,100,96.1348175634,78.4286592866,83.9276267062,91.7786912565,76.7902232098,81.2058364688,83.4298118669,78.915999255,26.9601522687,44.8578620986,21.3360348744,6.2442438755,0.3868115675,0.2148953153,4.7572863393,5.7410269845,"3,9","33,8","62,8","3,3","0,0"
010703,Incahuasi,11092,5369,5723,13056,6582,6474,-4.3788371253,1.4541058359,101.6682113068,0,100,94.3566417393,75.9037990196,84.9784285528,90.9396841833,78.8959323825,72.1631205674,71.8315972222,72.509057971,20.5745341615,48.8043478261,23.1677018634,6.8788819876,0.450310559,0.1242236025,5.3047544817,5.7254534084,"4,9","40,5","56,3","3,1","0,0"
010704,Villa Charcas,12302,5855,6447,16150,7996,8154,-3.1384885507,2.4275421118,98.0623007113,17.6222910217,82.3777089783,95.3579418345,80.1424148607,85.4594763743,91.066098081,80.0898509291,70.944808232,71.4447378348,70.4528582034,19.8520494785,53.7472714043,21.5377152559,4.4627698278,0.2789231142,0.1212709192,4.9783375928,5.4939009211,"4,5","41,6","56,5","1,9","0,0"
010801,Villa Serrano,12277,6183,6094,11161,5708,5453,-11.5834004835,-0.8500559715,104.6763249587,29.5493235373,70.4506764627,97.7348614746,71.4093719201,84.9945828819,90.1809473124,79.6194153337,83.53115727,81.1320754717,86.1196792104,20.5144193297,46.453624318,16.0093530787,16.3834762276,0.3273577553,0.3117692907,5.6810018904,6.0642059553,"5,3","49,8","48,6","1,5","0,0"
010901,Villa Abecia,3195,1573,1622,3514,1789,1725,3.9208760155,0.8488595625,103.7101449275,0,100,98.945568538,80.9334092203,89.9832355407,95.6998313659,84.3333333333,80,79.0794979079,80.9421841542,16.8246445498,43.317535545,25.4976303318,13.317535545,0.9004739336,0.1421800948,6.4095870907,7.2081749049,"5,6","55,3","44,1","0,6","0,0"
010902,Culpina,17570,8421,9149,17731,8631,9100,-4.479077991,0.0813611775,94.8461538462,15.5151993683,84.4848006317,95.7214099513,74.8857932435,84.1974169742,91.1514683153,77.8425141243,72.4077940153,72.598479613,72.2144358795,21.9707483719,53.5390199637,17.0812426604,6.8965517241,0.4163552898,0.09608199,4.8648677589,5.3787570621,"4,4","44,2","53,9","1,9","0,1"
010903,Las Carreras,3556,1809,1747,4088,2123,1965,4.0902679831,1.2435664052,108.0407124682,0,100,97.229713165,82.4119373777,89.3528183716,94.3614130435,84.0941512126,77.6243093923,74.406779661,81.4516129032,15.3785798352,43.3895645351,28.364064339,10.9846998823,1.7653981954,0.117693213,6.4097714736,6.8015564202,"6,0","58,6","38,8","2,5","0,0"
011001,Muyupampa,10748,5724,5024,9720,5123,4597,1.8715286163,-0.8967236524,111.4422449424,33.0761316872,66.9238683128,96.8753233316,77.4176954733,89.1222570533,90.8588064047,87.0967741935,80.8944426176,78.3312577833,83.7630662021,20.0181653043,37.0390554042,26.2306993642,15.6221616712,0.8537693006,0.2361489555,6.5723672203,6.9678522572,"6,1","59,8","37,9","2,3","0,0"
011002,Huacaya,2345,1232,1113,2541,1402,1139,2.2570244127,0.715996782,123.0904302019,0,100,97.5177304965,74.6950019677,94.0768746062,95.7207207207,91.9885550787,84.8837209302,82.5,87.8947368421,13.2005899705,41.5191740413,32.8171091445,11.0619469027,1.3274336283,0.0737463127,6.7028231798,7.1675531915,"6,1","49,0","50,0","1,0","0,0"
011003,Macharetí,7386,3967,3419,7418,4041,3377,4.7929936306,0.0385608789,119.6624222683,0,100,97.8243243243,80.399029388,94.9632952692,96.4770642202,93.0702156953,83.2139659803,79.9833887043,86.9902912621,8.5788357294,39.7596040537,36.6721659203,14.0230968654,0.6599104407,0.3063869903,7.4358852809,7.8855060034,"6,9","64,0","32,1","3,8","0,1"
